   WAVE        REDDENING
    cm
1.734912e-02 0.000000e+00
1.755183e-02 0.000000e+00
1.775692e-02 0.000000e+00
1.796440e-02 0.000000e+00
1.817430e-02 0.000000e+00
1.838665e-02 0.000000e+00
1.860149e-02 0.000000e+00
1.881884e-02 0.000000e+00
1.903873e-02 0.000000e+00
1.926118e-02 0.000000e+00
1.948624e-02 0.000000e+00
1.971392e-02 0.000000e+00
1.994427e-02 0.000000e+00
2.017730e-02 0.000000e+00
2.041306e-02 0.000000e+00
2.065158e-02 0.000000e+00
2.089288e-02 0.000000e+00
2.113700e-02 0.000000e+00
2.138397e-02 0.000000e+00
2.163383e-02 0.000000e+00
2.188661e-02 0.000000e+00
2.214234e-02 0.000000e+00
2.240106e-02 0.000000e+00
2.266280e-02 0.000000e+00
2.292760e-02 0.000000e+00
2.319550e-02 0.000000e+00
2.346652e-02 0.000000e+00
2.374072e-02 0.000000e+00
2.401811e-02 0.000000e+00
2.429875e-02 0.000000e+00
2.458267e-02 0.000000e+00
2.486990e-02 0.000000e+00
2.516049e-02 0.000000e+00
2.545447e-02 0.000000e+00
2.575189e-02 0.000000e+00
2.605279e-02 0.000000e+00
2.635720e-02 0.000000e+00
2.666517e-02 0.000000e+00
2.697673e-02 0.000000e+00
2.729194e-02 0.000000e+00
2.761083e-02 0.000000e+00
2.793345e-02 0.000000e+00
2.825983e-02 0.000000e+00
2.859003e-02 0.000000e+00
2.892409e-02 0.000000e+00
2.926205e-02 0.000000e+00
2.960396e-02 0.000000e+00
2.994986e-02 0.000000e+00
3.029981e-02 0.000000e+00
3.065384e-02 0.000000e+00
3.101202e-02 0.000000e+00
3.137437e-02 0.000000e+00
3.174096e-02 0.000000e+00
3.211184e-02 0.000000e+00
3.248704e-02 0.000000e+00
3.286663e-02 0.000000e+00
3.325066e-02 0.000000e+00
3.363918e-02 0.000000e+00
3.403223e-02 0.000000e+00
3.442987e-02 0.000000e+00
3.483217e-02 0.000000e+00
3.523916e-02 0.000000e+00
3.565091e-02 0.000000e+00
3.606747e-02 0.000000e+00
3.648889e-02 0.000000e+00
3.691524e-02 0.000000e+00
3.734658e-02 0.000000e+00
3.778295e-02 0.000000e+00
3.822442e-02 0.000000e+00
3.867105e-02 0.000000e+00
3.912290e-02 0.000000e+00
3.958002e-02 0.000000e+00
4.004249e-02 0.000000e+00
4.051036e-02 0.000000e+00
4.098370e-02 0.000000e+00
4.146257e-02 0.000000e+00
4.194704e-02 0.000000e+00
4.243716e-02 0.000000e+00
4.293302e-02 0.000000e+00
4.343466e-02 0.000000e+00
4.394217e-02 0.000000e+00
4.445561e-02 0.000000e+00
4.497504e-02 0.000000e+00
4.550055e-02 0.000000e+00
4.603220e-02 0.000000e+00
4.657005e-02 0.000000e+00
4.711420e-02 0.000000e+00
4.766470e-02 0.000000e+00
4.822163e-02 0.000000e+00
4.878507e-02 0.000000e+00
4.935510e-02 0.000000e+00
4.993178e-02 0.000000e+00
5.051520e-02 0.000000e+00
5.110544e-02 0.000000e+00
5.170258e-02 0.000000e+00
5.230669e-02 0.000000e+00
5.291786e-02 0.000000e+00
5.353618e-02 0.000000e+00
5.416171e-02 0.000000e+00
5.479456e-02 0.000000e+00
5.543480e-02 0.000000e+00
5.608252e-02 0.000000e+00
5.673781e-02 0.000000e+00
5.740076e-02 0.000000e+00
5.807145e-02 0.000000e+00
5.874998e-02 0.000000e+00
5.943644e-02 0.000000e+00
6.013092e-02 0.000000e+00
6.083351e-02 0.000000e+00
6.154432e-02 0.000000e+00
6.226342e-02 0.000000e+00
6.299093e-02 0.000000e+00
6.372695e-02 0.000000e+00
6.447156e-02 0.000000e+00
6.522487e-02 0.000000e+00
6.598698e-02 0.000000e+00
6.675800e-02 0.000000e+00
6.753802e-02 0.000000e+00
6.832716e-02 0.000000e+00
6.912553e-02 0.000000e+00
6.993322e-02 0.000000e+00
7.075034e-02 0.000000e+00
7.157702e-02 0.000000e+00
7.241335e-02 0.000000e+00
7.325946e-02 0.000000e+00
7.411545e-02 0.000000e+00
7.498144e-02 0.000000e+00
7.585756e-02 0.000000e+00
7.674391e-02 0.000000e+00
7.764061e-02 0.000000e+00
7.854780e-02 0.000000e+00
7.946558e-02 0.000000e+00
8.039409e-02 0.000000e+00
8.133344e-02 0.000000e+00
8.228377e-02 0.000000e+00
8.324521e-02 0.000000e+00
8.421788e-02 0.000000e+00
8.520191e-02 0.000000e+00
8.619745e-02 0.000000e+00
8.720461e-02 0.000000e+00
8.822355e-02 0.000000e+00
8.925438e-02 0.000000e+00
9.029727e-02 0.000000e+00
9.135234e-02 0.000000e+00
9.241973e-02 0.000000e+00
9.349960e-02 0.000000e+00
9.459209e-02 0.000000e+00
9.569734e-02 0.000000e+00
9.681550e-02 0.000000e+00
9.794673e-02 0.000000e+00
9.909118e-02 0.000000e+00
1.002490e-01 0.000000e+00
1.014204e-01 0.000000e+00
1.026054e-01 0.000000e+00
1.038043e-01 0.000000e+00
1.050172e-01 0.000000e+00
1.062442e-01 0.000000e+00
1.074856e-01 0.000000e+00
1.087415e-01 0.000000e+00
1.100121e-01 0.000000e+00
1.112975e-01 0.000000e+00
1.125980e-01 0.000000e+00
1.139136e-01 0.000000e+00
1.152446e-01 0.000000e+00
1.165912e-01 0.000000e+00
1.179535e-01 0.000000e+00
1.193317e-01 0.000000e+00
1.207260e-01 0.000000e+00
1.221366e-01 0.000000e+00
1.235637e-01 0.000000e+00
1.250075e-01 0.000000e+00
1.264681e-01 0.000000e+00
1.279458e-01 0.000000e+00
1.294408e-01 0.000000e+00
1.309532e-01 0.000000e+00
1.324833e-01 0.000000e+00
1.340313e-01 0.000000e+00
1.355974e-01 0.000000e+00
1.371818e-01 0.000000e+00
1.387847e-01 0.000000e+00
1.404063e-01 0.000000e+00
1.420468e-01 0.000000e+00
1.437066e-01 0.000000e+00
1.453857e-01 0.000000e+00
1.470844e-01 0.000000e+00
1.488030e-01 0.000000e+00
1.505417e-01 0.000000e+00
1.523007e-01 0.000000e+00
1.540802e-01 0.000000e+00
1.558806e-01 0.000000e+00
1.577019e-01 0.000000e+00
1.595446e-01 0.000000e+00
1.614088e-01 0.000000e+00
1.632947e-01 0.000000e+00
1.652027e-01 0.000000e+00
1.671330e-01 0.000000e+00
1.690859e-01 0.000000e+00
1.710615e-01 0.000000e+00
1.730603e-01 0.000000e+00
1.750824e-01 0.000000e+00
1.771281e-01 0.000000e+00
1.791978e-01 0.000000e+00
1.812916e-01 0.000000e+00
1.834099e-01 0.000000e+00
1.855529e-01 0.000000e+00
1.877210e-01 0.000000e+00
1.899144e-01 0.000000e+00
1.921334e-01 0.000000e+00
1.943784e-01 0.000000e+00
1.966496e-01 0.000000e+00
1.989473e-01 0.000000e+00
2.012719e-01 0.000000e+00
2.036236e-01 0.000000e+00
2.060028e-01 0.000000e+00
2.084098e-01 0.000000e+00
2.108450e-01 0.000000e+00
2.133086e-01 0.000000e+00
2.158010e-01 0.000000e+00
2.183225e-01 0.000000e+00
2.208734e-01 0.000000e+00
2.234542e-01 0.000000e+00
